country,tourists,percentage,airplane,train,ship,car,month,year
Λεττονία,0,0.0,0,0,0,0,ΦΕΒ,2011
Λιθουανία,0,0.0,0,0,0,0,ΦΕΒ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΦΕΒ,2011
Μάλτα,85,0.02551,85,0,0,0,ΦΕΒ,2011
Ολλανδία,1799,0.54,1799,0,0,0,ΦΕΒ,2011
Ουγγαρία,643,0.193,643,0,0,0,ΦΕΒ,2011
Πολωνία,1276,0.383,925,11,0,340,ΦΕΒ,2011
Πορτογαλία,1083,0.325,1083,0,0,0,ΦΕΒ,2011
Ρουμανία,10486,3.146,2221,241,801,7223,ΦΕΒ,2011
Σλοβακία,952,0.2856,952,0,0,0,ΦΕΒ,2011
Σλοβενία,391,0.1174,391,0,0,0,ΦΕΒ,2011
Σουηδία,1457,0.4373,869,0,588,0,ΦΕΒ,2011
Τσεχία,780,0.2341,430,11,0,339,ΦΕΒ,2011
Φινλανδία,827,0.2482,827,0,0,0,ΦΕΒ,2011
Αλβανία,27342,8.2,1487,0,0,25855,ΦΕΒ,2011
Ελβετία,4139,1.242,3789,11,0,339,ΦΕΒ,2011
Νορβηγία,1082,0.3247,1082,0,0,0,ΦΕΒ,2011
Ισλανδία,0,0.0,0,0,0,0,ΦΕΒ,2011
Ρωσία,4060,1.219,3710,11,0,339,ΦΕΒ,2011
Σερβία - Μαυροβούνιο,7775,2.334,444,0,779,6552,ΦΕΒ,2011
Λοιπά Κράτη Ευρώπης,50097,15.04,763,12,780,48542,ΦΕΒ,2011
Ιαπωνία,1258,0.3774,1258,0,0,0,ΦΕΒ,2011
Ιράν,496,0.1488,496,0,0,0,ΦΕΒ,2011
Ισραήλ,1610,0.4832,1610,0,0,0,ΦΕΒ,2011
Κίνα,496,0.1488,496,0,0,0,ΦΕΒ,2011
Λίβανος - Συρία,1610,0.4832,1610,0,0,0,ΦΕΒ,2011
Ν. Κορέα,0,0.0,0,0,0,0,ΦΕΒ,2011
Τουρκία,17787,5.34,2594,566,0,14627,ΦΕΒ,2011
Λοιπά κράτη Μ. Ανατολής,668,0.2004,668,0,0,0,ΦΕΒ,2011
Λοιπά κράτη Ασίας,593,0.178,593,0,0,0,ΦΕΒ,2011
Αίγυπτος - Σουδάν,861,0.2583,861,0,0,0,ΦΕΒ,2011
Νοτιοαφρικανική Ενωση,668,0.2004,668,0,0,0,ΦΕΒ,2011
Λοιπά κράτη Αφρικής,792,0.2377,792,0,0,0,ΦΕΒ,2011
Αργεντινή,609,0.1827,609,0,0,0,ΦΕΒ,2011
Βραζιλία,1799,0.54,1799,0,0,0,ΦΕΒ,2011
Μεξικό,0,0.0,0,0,0,0,ΦΕΒ,2011
Η.Π.Α.,10601,3.182,10601,0,0,0,ΦΕΒ,2011
Καναδάς,4885,1.466,4084,0,801,0,ΦΕΒ,2011
Λοιπά κράτη Αμερικής,2099,0.63,2099,0,0,0,ΦΕΒ,2011
Αυστραλία,3647,1.095,3647,0,0,0,ΦΕΒ,2011
Λοιπά κράτη Ωκεανίας,297,0.0891,297,0,0,0,ΦΕΒ,2011
Αυστρία,2561,0.6206,2145,0,416,0,ΜΑΡ,2011
Βέλγιο,6802,1.648,6515,0,287,0,ΜΑΡ,2011
Βουλγαρία,42636,10.33,866,0,9619,32151,ΜΑΡ,2011
Γαλλία,18521,4.49,15940,0,2581,0,ΜΑΡ,2011
Γερμανία,31093,7.535,26325,0,4768,0,ΜΑΡ,2011
Δανία,1525,0.3696,1525,0,0,0,ΜΑΡ,2011
Εσθονία,0,0.0,0,0,0,0,ΜΑΡ,2011
Ην. Βασίλειο,25123,6.086,23902,0,876,345,ΜΑΡ,2011
Ιρλανδία,496,0.1202,209,0,287,0,ΜΑΡ,2011
Ισπανία,3761,0.911,3058,0,703,0,ΜΑΡ,2011
Ιταλία,14614,3.541,6399,0,8215,0,ΜΑΡ,2011
Κύπρος,40335,9.77,40335,0,0,0,ΜΑΡ,2011
Λεττονία,0,0.0,0,0,0,0,ΜΑΡ,2011
Λιθουανία,0,0.0,0,0,0,0,ΜΑΡ,2011
Λουξεμβούργο,209,0.05066,209,0,0,0,ΜΑΡ,2011
Μάλτα,0,0.0,0,0,0,0,ΜΑΡ,2011
Ολλανδία,5224,1.266,4634,0,590,0,ΜΑΡ,2011
Ουγγαρία,1752,0.4246,897,0,855,0,ΜΑΡ,2011
Πολωνία,4654,1.128,0,0,3619,1035,ΜΑΡ,2011
Πορτογαλία,445,0.10785,445,0,0,0,ΜΑΡ,2011
Ρουμανία,17586,4.26,4415,0,0,13171,ΜΑΡ,2011
Σλοβακία,0,0.0,0,0,0,0,ΜΑΡ,2011
Σλοβενία,404,0.0979,178,0,0,226,ΜΑΡ,2011
Σουηδία,2740,0.664,2453,0,287,0,ΜΑΡ,2011
Τσεχία,1765,0.4277,1765,0,0,0,ΜΑΡ,2011
Φινλανδία,1091,0.2644,1091,0,0,0,ΜΑΡ,2011
Αλβανία,48039,11.64,2272,0,180,45587,ΜΑΡ,2011
Ελβετία,4695,1.138,3815,0,880,0,ΜΑΡ,2011
Νορβηγία,1288,0.312,1288,0,0,0,ΜΑΡ,2011
Ισλανδία,0,0.0,0,0,0,0,ΜΑΡ,2011
Ρωσία,4709,1.141,4184,0,180,345,ΜΑΡ,2011
Σερβία - Μαυροβούνιο,5034,1.22,433,0,711,3890,ΜΑΡ,2011
Λοιπά Κράτη Ευρώπης,40914,9.914,889,0,965,39060,ΜΑΡ,2011
Ιαπωνία,1023,0.2479,1023,0,0,0,ΜΑΡ,2011
Ιράν,630,0.1527,630,0,0,0,ΜΑΡ,2011
Ισραήλ,2521,0.611,2521,0,0,0,ΜΑΡ,2011
Κίνα,363,0.08795,363,0,0,0,ΜΑΡ,2011
Λίβανος - Συρία,433,0.1049,433,0,0,0,ΜΑΡ,2011
Ν. Κορέα,0,0.0,0,0,0,0,ΜΑΡ,2011
Τουρκία,37283,9.03,4990,0,4649,27644,ΜΑΡ,2011
Λοιπά κράτη Μ. Ανατολής,1012,0.2452,1012,0,0,0,ΜΑΡ,2011
Λοιπά κράτη Ασίας,3527,0.8545,3002,0,180,345,ΜΑΡ,2011
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΜΑΡ,2011
Νοτιοαφρικανική Ενωση,1318,0.3193,1318,0,0,0,ΜΑΡ,2011
Λοιπά κράτη Αφρικής,1735,0.4204,1735,0,0,0,ΜΑΡ,2011
Αργεντινή,710,0.172,710,0,0,0,ΜΑΡ,2011
Βραζιλία,1602,0.3882,1602,0,0,0,ΜΑΡ,2011
Μεξικό,0,0.0,0,0,0,0,ΜΑΡ,2011
Η.Π.Α.,26599,6.445,25874,0,725,0,ΜΑΡ,2011
Καναδάς,4279,1.037,4279,0,0,0,ΜΑΡ,2011
Λοιπά κράτη Αμερικής,866,0.2098,866,0,0,0,ΜΑΡ,2011
Αυστραλία,756,0.1832,756,0,0,0,ΜΑΡ,2011
Αυστρία,4679,0.699,1796,0,1973,910,ΑΠΡ,2011
Βέλγιο,14107,2.107,13688,0,419,0,ΑΠΡ,2011
Βουλγαρία,100533,15.016,4610,0,15430,80493,ΑΠΡ,2011
Γαλλία,74490,11.125,71653,0,2837,0,ΑΠΡ,2011
Γερμανία,58240,8.7,47494,0,10746,0,ΑΠΡ,2011
Δανία,5683,0.849,5474,0,209,0,ΑΠΡ,2011
Εσθονία,0,0.0,0,0,0,0,ΑΠΡ,2011
Ην. Βασίλειο,34593,5.168,33012,0,1581,0,ΑΠΡ,2011
Ιρλανδία,1594,0.2382,1594,0,0,0,ΑΠΡ,2011
Ισπανία,9034,1.35,9034,0,0,0,ΑΠΡ,2011
Ιταλία,22695,3.39,10277,0,11717,701,ΑΠΡ,2011
Κύπρος,41626,6.22,41484,0,142,0,ΑΠΡ,2011
Λεττονία,156,0.0233,156,0,0,0,ΑΠΡ,2011
Λιθουανία,1652,0.2468,1299,0,249,104,ΑΠΡ,2011
Λουξεμβούργο,1094,0.1635,1094,0,0,0,ΑΠΡ,2011
Μάλτα,0,0.0,0,0,0,0,ΑΠΡ,2011
Ολλανδία,9535,1.425,7650,0,1885,0,ΑΠΡ,2011
Ουγγαρία,2371,0.3542,2001,0,370,0,ΑΠΡ,2011
Πολωνία,2677,0.4,1937,0,740,0,ΑΠΡ,2011
Πορτογαλία,1369,0.2045,824,0,545,0,ΑΠΡ,2011
Ρουμανία,18049,2.697,2340,0,2929,12780,ΑΠΡ,2011
Σλοβακία,694,0.1037,694,0,0,0,ΑΠΡ,2011
Σλοβενία,329,0.04916,0,0,329,0,ΑΠΡ,2011
Σουηδία,17269,2.58,17059,0,210,0,ΑΠΡ,2011
Τσεχία,922,0.1377,552,0,370,0,ΑΠΡ,2011
Φινλανδία,10798,1.613,10678,0,120,0,ΑΠΡ,2011
Αλβανία,26857,4.01,2325,0,0,24532,ΑΠΡ,2011
Ελβετία,8486,1.268,6092,0,2097,297,ΑΠΡ,2011
Νορβηγία,9012,1.347,9012,0,0,0,ΑΠΡ,2011
Ισλανδία,0,0.0,0,0,0,0,ΑΠΡ,2011
Ρωσία,7367,1.101,6744,0,0,623,ΑΠΡ,2011
Σερβία - Μαυροβούνιο,18388,2.746,2540,0,370,15478,ΑΠΡ,2011
Λοιπά Κράτη Ευρώπης,59479,8.88,417,0,699,58363,ΑΠΡ,2011
Ιαπωνία,0,0.0,0,0,0,0,ΑΠΡ,2011
Ιράν,0,0.0,0,0,0,0,ΑΠΡ,2011
Ισραήλ,22794,3.404,22794,0,0,0,ΑΠΡ,2011
Κίνα,767,0.11456,767,0,0,0,ΑΠΡ,2011
Λίβανος - Συρία,792,0.1183,792,0,0,0,ΑΠΡ,2011
Ν. Κορέα,0,0.0,0,0,0,0,ΑΠΡ,2011
Τουρκία,18207,2.72,2977,0,1887,13343,ΑΠΡ,2011
Λοιπά κράτη Μ. Ανατολής,788,0.11774,788,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Ασίας,3540,0.529,3540,0,0,0,ΑΠΡ,2011
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΑΠΡ,2011
Νοτιοαφρικανική Ενωση,2917,0.4358,2917,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Αφρικής,850,0.127,850,0,0,0,ΑΠΡ,2011
Αργεντινή,752,0.11237,752,0,0,0,ΑΠΡ,2011
Βραζιλία,2176,0.325,2176,0,0,0,ΑΠΡ,2011
Μεξικό,694,0.1037,694,0,0,0,ΑΠΡ,2011
Η.Π.Α.,41039,6.13,40299,0,740,0,ΑΠΡ,2011
Καναδάς,6240,0.932,6240,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Αμερικής,1556,0.2324,1556,0,0,0,ΑΠΡ,2011
Αυστραλία,1305,0.195,1305,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Ωκεανίας,1196,0.1787,1196,0,0,0,ΑΠΡ,2011
Αυστρία,15228,1.134,12949,0,1957,322,ΜΑΙ,2011
Βέλγιο,36503,2.719,35752,0,751,0,ΜΑΙ,2011
Βουλγαρία,80468,5.992,4503,0,3999,71966,ΜΑΙ,2011
Γαλλία,153601,11.44,144974,0,7785,842,ΜΑΙ,2011
Γερμανία,183795,13.69,173759,0,10036,0,ΜΑΙ,2011
Δανία,14450,1.076,14450,0,0,0,ΜΑΙ,2011
Εσθονία,1174,0.0874,1174,0,0,0,ΜΑΙ,2011
Ην. Βασίλειο,175309,13.055,171646,0,3663,0,ΜΑΙ,2011
Ιρλανδία,2940,0.2189,2675,0,265,0,ΜΑΙ,2011
Ισπανία,6609,0.4922,6201,0,408,0,ΜΑΙ,2011
Ιταλία,29623,2.205,21268,0,8355,0,ΜΑΙ,2011
Κύπρος,27398,2.041,26576,0,822,0,ΜΑΙ,2011
Λεττονία,1269,0.0945,1269,0,0,0,ΜΑΙ,2011
Λιθουανία,3511,0.2615,3511,0,0,0,ΜΑΙ,2011
Λουξεμβούργο,3143,0.234,2878,0,265,0,ΜΑΙ,2011
Μάλτα,0,0.0,0,0,0,0,ΜΑΙ,2011
Ολλανδία,85971,6.402,82997,0,1852,1122,ΜΑΙ,2011
Ουγγαρία,4950,0.3687,3282,0,1346,322,ΜΑΙ,2011
Πολωνία,24577,1.83,21048,0,1436,2093,ΜΑΙ,2011
Πορτογαλία,733,0.05457,491,0,242,0,ΜΑΙ,2011
Ρουμανία,20642,1.537,1958,0,5285,13399,ΜΑΙ,2011
Σλοβακία,227,0.0169,227,0,0,0,ΜΑΙ,2011
Σλοβενία,0,0.0,0,0,0,0,ΜΑΙ,2011
Σουηδία,42559,3.17,42559,0,0,0,ΜΑΙ,2011
Τσεχία,10422,0.776,10105,0,317,0,ΜΑΙ,2011
Φινλανδία,9464,0.7046,9464,0,0,0,ΜΑΙ,2011
Αλβανία,49790,3.707,5703,0,0,44087,ΜΑΙ,2011
Ελβετία,21075,1.569,17909,0,3166,0,ΜΑΙ,2011
Νορβηγία,14768,1.1,14433,0,335,0,ΜΑΙ,2011
Ισλανδία,0,0.0,0,0,0,0,ΜΑΙ,2011
Ρωσία,76992,5.734,76119,0,551,322,ΜΑΙ,2011
Σερβία - Μαυροβούνιο,9677,0.7207,1421,0,0,8256,ΜΑΙ,2011
Λοιπά Κράτη Ευρώπης,92033,6.85,8102,0,999,82932,ΜΑΙ,2011
Ιαπωνία,728,0.0542,728,0,0,0,ΜΑΙ,2011
Ιράν,1548,0.1153,562,0,986,0,ΜΑΙ,2011
Ισραήλ,17294,1.288,17294,0,0,0,ΜΑΙ,2011
Κίνα,2067,0.1539,2067,0,0,0,ΜΑΙ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΜΑΙ,2011
Ν. Κορέα,194,0.01444,194,0,0,0,ΜΑΙ,2011
Τουρκία,40886,3.045,2667,0,4180,34039,ΜΑΙ,2011
Λοιπά κράτη Μ. Ανατολής,2696,0.2008,2696,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Ασίας,1325,0.09863,1325,0,0,0,ΜΑΙ,2011
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΜΑΙ,2011
Νοτιοαφρικανική Ενωση,2796,0.2083,2796,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Αφρικής,540,0.04022,540,0,0,0,ΜΑΙ,2011
Αργεντινή,676,0.05032,676,0,0,0,ΜΑΙ,2011
Βραζιλία,6538,0.4868,6538,0,0,0,ΜΑΙ,2011
Μεξικό,359,0.02673,359,0,0,0,ΜΑΙ,2011
Η.Π.Α.,47316,3.523,45796,0,1520,0,ΜΑΙ,2011
Καναδάς,13396,0.9976,13396,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Αμερικής,481,0.03583,481,0,0,0,ΜΑΙ,2011
Αυστραλία,3916,0.2915,3916,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Ωκεανίας,1309,0.0975,1309,0,0,0,ΜΑΙ,2011
Αυστρία,54113,2.479,48181,0,5932,0,ΙΟΥΝ,2011
Βέλγιο,66974,3.068,63935,0,3039,0,ΙΟΥΝ,2011
Βουλγαρία,64546,2.957,4190,0,10316,50040,ΙΟΥΝ,2011
Γαλλία,147785,6.77,140834,0,6951,0,ΙΟΥΝ,2011
Γερμανία,333215,15.26,306183,0,27032,0,ΙΟΥΝ,2011
Δανία,35991,1.648,35863,0,128,0,ΙΟΥΝ,2011
Εσθονία,3099,0.142,3099,0,0,0,ΙΟΥΝ,2011
Ην. Βασίλειο,239661,10.98,237622,0,2039,0,ΙΟΥΝ,2011
Ιρλανδία,15578,0.7134,15187,0,391,0,ΙΟΥΝ,2011
Ισπανία,12048,0.552,11191,0,857,0,ΙΟΥΝ,2011
Ιταλία,106115,4.86,83109,0,23006,0,ΙΟΥΝ,2011
Κύπρος,31768,1.455,31380,0,388,0,ΙΟΥΝ,2011
Λεττονία,421,0.01929,421,0,0,0,ΙΟΥΝ,2011
Λιθουανία,1902,0.0871,1902,0,0,0,ΙΟΥΝ,2011
Λουξεμβούργο,4281,0.196,4281,0,0,0,ΙΟΥΝ,2011
Μάλτα,645,0.02954,645,0,0,0,ΙΟΥΝ,2011
Ολλανδία,93618,4.29,90083,0,3535,0,ΙΟΥΝ,2011
Ουγγαρία,4028,0.1844,1825,0,587,1616,ΙΟΥΝ,2011
Πολωνία,62079,2.844,59401,0,1272,1406,ΙΟΥΝ,2011
Πορτογαλία,2411,0.1104,2411,0,0,0,ΙΟΥΝ,2011
Ρουμανία,21159,0.969,4971,0,1975,14213,ΙΟΥΝ,2011
Σλοβακία,2293,0.10504,2293,0,0,0,ΙΟΥΝ,2011
Σλοβενία,2506,0.11475,1109,0,1397,0,ΙΟΥΝ,2011
Σουηδία,47422,2.172,47422,0,0,0,ΙΟΥΝ,2011
Τσεχία,37850,1.733,36259,0,1591,0,ΙΟΥΝ,2011
Φινλανδία,39792,1.822,39714,0,78,0,ΙΟΥΝ,2011
Αλβανία,30712,1.406,0,0,0,30712,ΙΟΥΝ,2011
Ελβετία,51250,2.348,45943,0,5307,0,ΙΟΥΝ,2011
Νορβηγία,50271,2.303,49798,0,473,0,ΙΟΥΝ,2011
Ισλανδία,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Ρωσία,115897,5.31,114364,0,343,1190,ΙΟΥΝ,2011
Σερβία - Μαυροβούνιο,88388,4.047,2937,0,0,85451,ΙΟΥΝ,2011
Λοιπά Κράτη Ευρώπης,164785,7.547,18317,0,0,146468,ΙΟΥΝ,2011
Ιαπωνία,1811,0.08295,1811,0,0,0,ΙΟΥΝ,2011
Ιράν,2798,0.1282,911,0,1887,0,ΙΟΥΝ,2011
Ισραήλ,34327,1.572,34327,0,0,0,ΙΟΥΝ,2011
Κίνα,1577,0.0722,1577,0,0,0,ΙΟΥΝ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Ν. Κορέα,409,0.01874,409,0,0,0,ΙΟΥΝ,2011
Τουρκία,73158,3.352,1506,0,5504,66148,ΙΟΥΝ,2011
Λοιπά κράτη Μ. Ανατολής,923,0.04227,923,0,0,0,ΙΟΥΝ,2011
Λοιπά κράτη Ασίας,6729,0.308,6729,0,0,0,ΙΟΥΝ,2011
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Νοτιοαφρικανική Ενωση,4150,0.1901,3807,0,343,0,ΙΟΥΝ,2011
Λοιπά κράτη Αφρικής,1520,0.06964,1289,0,231,0,ΙΟΥΝ,2011
Αργεντινή,1700,0.0779,1579,0,121,0,ΙΟΥΝ,2011
Βραζιλία,4977,0.2279,4977,0,0,0,ΙΟΥΝ,2011
Μεξικό,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Η.Π.Α.,73782,3.379,72494,0,1288,0,ΙΟΥΝ,2011
Καναδάς,20764,0.951,19230,0,1534,0,ΙΟΥΝ,2011
Λοιπά κράτη Αμερικής,2648,0.1213,1962,0,686,0,ΙΟΥΝ,2011
Λοιπά κράτη Ωκεανίας,4543,0.2081,3822,0,231,490,ΙΟΥΝ,2011
Αυστρία,91081,3.053,78415,0,6864,5802,ΙΟΥΛ,2011
Βέλγιο,104325,3.496,101713,0,2612,0,ΙΟΥΛ,2011
Βουλγαρία,62733,2.102,619,0,4189,57925,ΙΟΥΛ,2011
Γαλλία,175367,5.875,169839,0,5528,0,ΙΟΥΛ,2011
Γερμανία,395791,13.266,364579,0,13421,17791,ΙΟΥΛ,2011
Δανία,74999,2.514,71027,0,878,3094,ΙΟΥΛ,2011
Εσθονία,2660,0.0891,1807,0,853,0,ΙΟΥΛ,2011
Ην. Βασίλειο,221812,7.434,218896,0,2558,358,ΙΟΥΛ,2011
Ιρλανδία,5668,0.19,4961,0,707,0,ΙΟΥΛ,2011
Ισπανία,26950,0.9033,25556,0,1394,0,ΙΟΥΛ,2011
Ιταλία,184092,6.168,151974,0,32118,0,ΙΟΥΛ,2011
Κύπρος,64160,2.15,64160,0,0,0,ΙΟΥΛ,2011
Λεττονία,1926,0.0645,1926,0,0,0,ΙΟΥΛ,2011
Λιθουανία,1135,0.03802,1135,0,0,0,ΙΟΥΛ,2011
Λουξεμβούργο,2319,0.0777,2319,0,0,0,ΙΟΥΛ,2011
Μάλτα,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ολλανδία,105943,3.55,101598,0,1838,2507,ΙΟΥΛ,2011
Ουγγαρία,22240,0.745,13907,0,0,8333,ΙΟΥΛ,2011
Πολωνία,135282,4.535,129105,0,2435,3742,ΙΟΥΛ,2011
Πορτογαλία,5082,0.1703,4701,0,381,0,ΙΟΥΛ,2011
Ρουμανία,38756,1.299,15021,0,1426,22309,ΙΟΥΛ,2011
Σλοβακία,9175,0.3074,9175,0,0,0,ΙΟΥΛ,2011
Σλοβενία,11545,0.387,7852,0,3693,0,ΙΟΥΛ,2011
Σουηδία,73038,2.447,72919,0,119,0,ΙΟΥΛ,2011
Τσεχία,78942,2.645,74801,0,1228,2913,ΙΟΥΛ,2011
Φινλανδία,16556,0.5547,16442,0,114,0,ΙΟΥΛ,2011
Αλβανία,30674,1.028,2621,0,0,28053,ΙΟΥΛ,2011
Ελβετία,59871,2.006,56585,0,3286,0,ΙΟΥΛ,2011
Νορβηγία,67471,2.262,67319,0,152,0,ΙΟΥΛ,2011
Ισλανδία,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ρωσία,136789,4.586,123872,0,538,12379,ΙΟΥΛ,2011
Σερβία - Μαυροβούνιο,184877,6.195,3884,0,0,180993,ΙΟΥΛ,2011
Λοιπά Κράτη Ευρώπης,302958,10.16,29318,0,444,273196,ΙΟΥΛ,2011
Ιαπωνία,621,0.02081,0,0,621,0,ΙΟΥΛ,2011
Ιράν,982,0.0329,0,0,146,836,ΙΟΥΛ,2011
Ισραήλ,30870,1.034,30484,0,386,0,ΙΟΥΛ,2011
Κίνα,1890,0.06335,1268,0,622,0,ΙΟΥΛ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ν. Κορέα,415,0.01391,415,0,0,0,ΙΟΥΛ,2011
Τουρκία,118465,3.97,4641,0,2190,111634,ΙΟΥΛ,2011
Λοιπά κράτη Μ. Ανατολής,3692,0.1237,3306,0,386,0,ΙΟΥΛ,2011
Αίγυπτος - Σουδάν,802,0.02687,802,0,0,0,ΙΟΥΛ,2011
Νοτιοαφρικανική Ενωση,3438,0.11523,3438,0,0,0,ΙΟΥΛ,2011
Λοιπά κράτη Αφρικής,399,0.013374,399,0,0,0,ΙΟΥΛ,2011
Αργεντινή,3061,0.1026,2440,0,621,0,ΙΟΥΛ,2011
Βραζιλία,8398,0.2815,8398,0,0,0,ΙΟΥΛ,2011
Μεξικό,702,0.02353,702,0,0,0,ΙΟΥΛ,2011
Η.Π.Α.,58079,1.946,57323,0,756,0,ΙΟΥΛ,2011
Καναδάς,15945,0.534,15172,0,773,0,ΙΟΥΛ,2011
